genome	source	strains	expand	GTDB_capture	novo	contigs	genome_size	avg_len	N50_len	N90_len	GC	completeness	contamination	gene	5S	16S	23S	tRNA	quality	domain	phylum	class	order	family	genus	species
PN2RJ.bin.4	metagenome-assembly	11	No	No	No	162	2406985	14857.93	23473	7388	41.89	94.79	3.12	1440	2	0	0	38	medium-quality	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__
PN2RJ.bin.67	metagenome-assembly	4	Yes	Yes	No	183	1284558	7019.44	10546	3333	56.29	81.46	0.52	2083	0	0	0	22	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__JAEDEU01	s__JAEDEU01 sp016293155
PN2RJ.bin.8	metagenome-assembly	1	No	No	No	460	1387368	3016.02	3177	1847	44.48	67.2	3.4	1801	1	0	0	17	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA6857	s__
PN2RJ.vae.1482	metagenome-assembly	2	No	Yes	No	694	2167923	3123.81	3369	1830	68.4	56.16	3.05	2151	0	2	0	22	medium-quality	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__RUG572 sp016302985
PN2RJ.vae.16485	metagenome-assembly	2	Yes	No	Yes	670	2022125	3018.1	3194	1825	65.63	67.27	1.09	2073	0	2	0	34	medium-quality	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__
PN2RJ.vae.17248	metagenome-assembly	1	Yes	No	Yes	323	1268443	3927.07	4427	2029	52.89	52.61	5.68	1931	1	0	0	14	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN2RJ.vae.20178	metagenome-assembly	1	Yes	No	Yes	180	620221	3445.67	3729	1957	27.91	77.69	1.15	1093	0	0	2	6	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__UBA3789	s__
PN2RJ.vae.20897	metagenome-assembly	2	Yes	No	Yes	457	1319305	2886.88	3060	1812	47.44	55.6	0.43	1111	0	0	0	8	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__	s__
PN2RJ.vae.27490	metagenome-assembly	1	Yes	No	Yes	192	583343	3038.24	3162	1783	28.88	77.49	0.56	1337	1	2	0	4	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__Scatovivens	s__
PN2RJ.vae.28132	metagenome-assembly	1	Yes	No	Yes	406	1107182	2727.05	2857	1732	38.17	53.66	1.29	1396	0	0	0	13	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__FD2005	s__
PN2RJ.vae.30272	metagenome-assembly	3	Yes	No	Yes	256	1561272	6098.72	7797	2948	56.52	68.53	0.94	1045	1	0	0	25	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN2RJ.vae.9786	metagenome-assembly	1	Yes	Yes	No	173	542455	3135.58	3342	1796	29.19	77.36	0.23	611	0	0	2	8	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG705	s__RUG705 sp934098395
PN3CA.bin.115	metagenome-assembly	1	No	Yes	No	75	2801214	37349.52	66750	17478	50.86	92.13	1	1263	0	0	0	54	medium-quality	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D sp017934745
PN3CA.bin.121	metagenome-assembly	1	Yes	No	Yes	98	1250102	12756.14	19878	5498	42.74	52.79	0.47	1776	0	0	0	24	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__
PN3CA.bin.161	metagenome-assembly	1	Yes	No	Yes	203	1718596	8465.99	10683	4384	42.54	86.79	3.02	1730	0	0	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
PN3CA.bin.170	metagenome-assembly	1	Yes	No	Yes	229	2350147	10262.65	22868	4122	35.74	79.59	2.86	2352	0	1	1	58	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__
PN3CA.bin.26	metagenome-assembly	1	Yes	No	Yes	544	1712850	3148.62	3357	1803	64.46	63.23	8.61	1946	0	0	0	37	medium-quality	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__
PN3CA.bin.39	metagenome-assembly	1	Yes	No	Yes	145	2236219	15422.2	22822	8057	54.3	78.07	0.09	1555	1	2	1	32	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__
PN3CA.bin.94	metagenome-assembly	2	Yes	No	Yes	536	1898422	3541.83	3864	2061	52.75	51.21	0.32	1860	0	1	0	27	medium-quality	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Thermoguttaceae	g__RUG369	s__
PN3CA.bin.95	metagenome-assembly	1	Yes	No	Yes	341	1469147	4308.35	5134	2206	40.31	78.86	5.29	1955	0	0	0	20	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__
PN3CA.bin.99	metagenome-assembly	1	Yes	No	Yes	134	2029186	15143.18	26206	7145	44.68	83.75	1.24	1759	0	0	0	32	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__
PN3CA.vae.101009	metagenome-assembly	1	Yes	No	Yes	225	1484692	6598.63	8701	3544	59.91	66.86	2.12	655	0	0	0	23	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
PN3CA.vae.114276	metagenome-assembly	1	No	No	No	65	2323411	35744.79	61213	18773	48.75	97.45	0.16	1563	0	3	2	39	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__
PN3CA.vae.16217	metagenome-assembly	1	No	No	No	655	2752761	4202.69	5085	2144	36.68	72.55	8.45	1807	0	0	0	33	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__
PN3CA.vae.16356	metagenome-assembly	1	Yes	Yes	No	230	1038883	4516.88	5504	2364	40	67.69	1.39	1464	0	0	0	19	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__Ornithomonoglobus	s__Ornithomonoglobus sp902796445
PN3CA.vae.203	metagenome-assembly	1	Yes	No	Yes	392	1164110	2969.67	3092	1763	56.89	63.05	1.38	1459	0	2	0	21	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__
PN3CA.vae.2569	metagenome-assembly	1	Yes	No	Yes	136	1565123	11508.26	16093	5407	45.98	95.2	2.01	1505	1	0	0	41	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__
PN3CA.vae.26312	metagenome-assembly	1	Yes	No	Yes	51	2044805	40094.21	71237	19136	58.64	100	3.47	1358	2	0	0	42	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__
PN3CA.vae.3419	metagenome-assembly	1	Yes	No	Yes	384	1993411	5191.17	6250	2479	43.43	70.47	4.48	2010	0	0	0	27	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__
PN3CA.vae.38455	metagenome-assembly	1	Yes	No	Yes	434	1138461	2623.18	2719	1681	60.86	53.08	0.05	1252	0	0	0	22	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus	s__
PN3CA.vae.4328	metagenome-assembly	3	Yes	No	Yes	59	1248002	21152.58	40948	8635	29.91	72.55	0.8	2975	2	2	0	35	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN3CA.vae.4556	metagenome-assembly	1	Yes	No	Yes	215	1828942	8506.71	11373	4239	44.06	64.33	3.05	1624	0	0	0	27	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__
PN3CA.vae.47362	metagenome-assembly	1	No	No	No	440	1882003	4277.28	5155	2126	38.7	55.48	3.42	1813	0	0	2	23	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__
PN3CA.vae.75723	metagenome-assembly	2	Yes	No	Yes	179	1887120	10542.57	18696	4486	62.93	99.4	0.34	1480	0	0	0	51	medium-quality	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__	s__
PN3CA.vae.7838	metagenome-assembly	1	No	No	No	352	1369461	3890.51	4506	2086	47.05	51.33	0.09	1491	0	0	0	15	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-353	s__
PN3CA.vae.8284	metagenome-assembly	1	Yes	No	Yes	167	2706238	16205.02	26053	7423	29.47	54.59	1.51	1617	1	1	2	17	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN3CA.vae.9529	metagenome-assembly	11	No	Yes	No	110	2252171	20474.28	32877	9416	45.36	99.56	0.02	1003	1	3	4	48	high-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Limisoma	s__Limisoma sp004561555
PN3CA.vae.9823	metagenome-assembly	1	Yes	No	Yes	429	1554751	3624.13	3967	2083	29.48	56.21	2.12	1755	4	0	0	16	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN3CB.bin.108	metagenome-assembly	1	Yes	No	Yes	53	2580453	48687.79	135569	47822	40.43	87.06	1.64	1853	0	0	1	50	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__MGBC120314	s__
PN3CB.bin.18	metagenome-assembly	1	Yes	No	Yes	199	2804854	14094.74	24067	6368	41.48	86.9	9.95	1477	0	0	4	39	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea_A	s__
PN3CB.bin.185	metagenome-assembly	1	No	No	No	81	2093580	25846.67	42105	17008	44.72	92.31	3.42	2784	2	0	2	42	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__
PN3CB.bin.196	metagenome-assembly	1	Yes	No	Yes	44	922078	20956.32	31916	12018	26.35	67.18	1.96	2329	0	2	0	20	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__RUG11198	s__
PN3CB.bin.197	metagenome-assembly	1	Yes	No	Yes	238	1006833	4230.39	4827	2106	29.47	81.8	8.44	1607	0	0	0	14	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__
PN3CB.bin.29	metagenome-assembly	1	Yes	No	Yes	12	1551933	129327.75	307224	55129	47.03	82.83	1	1466	3	2	2	34	medium-quality	d__Bacteria	p__Bacillota_B	c__Syntrophomonadia	o__Syntrophomonadales	f__CALXSZ01	g__CALXSZ01	s__
PN3CB.bin.30	metagenome-assembly	1	No	No	No	67	1645516	24559.94	41934	15130	28.34	82.35	1.83	1747	1	0	2	35	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__
PN3CB.bin.38	metagenome-assembly	1	Yes	Yes	No	765	2050111	2679.88	2760	1694	62.79	63.45	6.15	1675	0	2	0	17	medium-quality	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__RUG572 sp900771305
PN3CB.bin.54	metagenome-assembly	4	No	No	No	67	1511411	22558.37	46518	12310	37.36	98.85	0.43	1863	0	0	2	38	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Traorella	s__
PN3CB.vae.12979	metagenome-assembly	1	Yes	No	Yes	493	1618996	3283.97	3562	1920	47.62	50.77	1.64	1936	0	0	2	15	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-56	s__
PN3CB.vae.16545	metagenome-assembly	1	No	No	No	124	2422344	19535.03	27592	9865	57.13	86.58	0.12	1795	0	0	2	42	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__
PN3CB.vae.17327	metagenome-assembly	4	No	No	No	253	2094589	8279.01	12752	3766	53.79	80.94	0.34	1618	0	0	0	36	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Mediterranea	s__
PN3CB.vae.20479	metagenome-assembly	1	No	No	No	140	1755267	12537.62	20290	6226	53.39	93.96	1.15	1289	2	2	0	31	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN3CB.vae.2124	metagenome-assembly	1	No	No	No	379	1889336	4985.06	6161	2465	53.86	62.21	1.48	1631	0	0	0	35	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__
PN3CB.vae.27763	metagenome-assembly	2	No	No	No	209	2523655	12074.9	18141	5716	57.52	83.65	0.05	2367	0	0	0	49	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__
PN3CB.vae.31052	metagenome-assembly	3	No	Yes	No	346	1807541	5224.11	6768	2543	60.27	81.04	1.43	1896	0	0	0	40	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella sp945788445
PN3CB.vae.3351	metagenome-assembly	13	Yes	No	Yes	562	2172160	3865.05	4550	2071	40.06	86.11	1.5	1355	0	0	0	31	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__SIG292	s__
PN3CB.vae.36856	metagenome-assembly	1	Yes	Yes	No	253	1255100	4960.87	6055	2689	37.2	63.32	1.34	1556	0	0	0	30	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp016303235
PN3CB.vae.44640	metagenome-assembly	1	Yes	No	Yes	246	2308190	9382.89	14292	4578	41.53	93.67	0.49	1957	0	1	0	45	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnoclostridium_B	s__
PN3CB.vae.52354	metagenome-assembly	1	Yes	No	Yes	259	1964588	7585.28	9678	3792	42.44	85.69	2.27	1642	0	0	0	41	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_C	s__
PN3CB.vae.5275	metagenome-assembly	2	Yes	No	Yes	359	1440308	4012	4516	2320	46.06	67.17	0.78	1503	0	0	0	14	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__
PN3CB.vae.7456	metagenome-assembly	2	Yes	No	Yes	265	1390254	5246.24	6325	2874	43.14	57.66	0.58	2121	0	0	0	20	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-510	s__
PN3CB.vae.75552	metagenome-assembly	1	No	No	No	93	1233067	13258.79	19873	6935	27.36	80.03	2.33	1337	0	0	0	29	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-269	s__
PN3CB.vae.9530	metagenome-assembly	1	Yes	No	Yes	345	830602	2407.54	2423	1669	42.66	50.59	0.54	1865	1	0	0	25	medium-quality	d__Bacteria	p__Bacillota_C	c__	o__	f__	g__	s__
PN3CC.bin.111	metagenome-assembly	2	Yes	No	Yes	220	997786	4535.39	5533	2299	45.71	84.8	2.26	1527	2	0	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__RUG099	s__
PN3CC.bin.184	metagenome-assembly	8	No	Yes	No	88	1749515	19880.85	34007	8598	33.44	98.21	0.06	1247	0	0	0	40	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__SFHR01	s__SFHR01 sp004555545
PN3CC.bin.55	metagenome-assembly	1	Yes	No	Yes	157	1810621	11532.62	18587	5175	55.05	94.05	0.18	942	0	0	0	43	medium-quality	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__CAKUOV01	s__
PN3CC.vae.26171	metagenome-assembly	3	No	No	No	215	2914872	13557.54	21111	6808	45.34	100	0.29	1806	0	0	1	45	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4334	s__
PN3CC.vae.39272	metagenome-assembly	1	Yes	No	Yes	365	1547973	4241.02	4818	2352	39.46	55.39	1.65	2298	0	0	0	28	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyribacter	s__
PN3CC.vae.7083	metagenome-assembly	2	No	No	No	113	2578105	22815.09	50152	12578	40.31	94.76	0.72	1505	0	2	0	31	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__JAEYFP01	s__
PN3CD.bin.105	metagenome-assembly	1	No	Yes	No	308	966644	3138.45	3399	1817	43.07	65.3	3.28	1285	0	0	0	16	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__UBA737 sp905211675
PN3CD.bin.116	metagenome-assembly	26	No	Yes	No	269	2017588	7500.33	11621	3076	35.82	96.87	0.3	1646	2	0	0	41	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Succinivibrionaceae	g__Succinivibrio	s__Succinivibrio sp003456415
PN3CD.bin.118	metagenome-assembly	2	No	Yes	No	166	1218166	7338.35	10098	3333	46.05	89.73	2.14	1506	0	0	0	25	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__UBA737 sp900547445
PN3CD.bin.149	metagenome-assembly	1	Yes	No	Yes	98	1638340	16717.76	47675	6448	57.05	68.8	3.02	1540	0	0	0	21	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN3CD.bin.66	metagenome-assembly	1	Yes	No	Yes	293	909791	3105.09	3300	1884	47.96	51.94	0.7	1605	1	0	0	16	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA6857	s__
PN3CD.vae.175426	metagenome-assembly	1	Yes	No	Yes	102	3137424	30759.06	47938	15201	29.46	99.69	0.66	2872	1	0	2	38	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN3CD.vae.19124	metagenome-assembly	3	Yes	No	Yes	443	2133524	4816.08	6157	2351	26.63	84.15	0.39	2364	3	0	2	43	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN3CD.vae.19133	metagenome-assembly	1	Yes	No	Yes	171	1676368	9803.32	15543	4455	39.13	99.62	2.29	1640	1	0	0	32	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__
PN3CD.vae.22017	metagenome-assembly	2	No	No	No	289	2175746	7528.53	11741	3309	56.39	83.72	2.08	1228	2	0	0	32	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN3CD.vae.38841	metagenome-assembly	3	Yes	No	Yes	349	2773168	7946.04	10770	4107	29.32	75.8	2.1	2791	3	0	2	39	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__
PN3CD.vae.51794	metagenome-assembly	16	No	No	No	162	3414514	21077.25	33663	9799	49.1	92.94	0.05	1328	2	0	4	50	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__
PN3CD.vae.6551	metagenome-assembly	1	Yes	No	Yes	290	1173235	4045.64	4510	2384	56.39	51.12	0.81	1729	1	0	0	14	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN3CD.vae.80983	metagenome-assembly	2	Yes	No	Yes	262	1029379	3928.93	4601	2108	42.56	56.25	0.99	1989	1	0	2	17	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__
PN3CD.vae.88779	metagenome-assembly	1	Yes	No	Yes	161	947488	5885.02	7666	3033	28.72	63.01	6.19	2766	0	0	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-245	s__
PN3CE.bin.4	metagenome-assembly	3	Yes	Yes	No	351	1236981	3524.16	3972	1903	54.94	60.57	2.07	1297	1	1	0	25	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella sp004552155
PN3CF.bin.10	metagenome-assembly	1	No	No	No	264	1819610	6892.46	9458	3032	43.55	72.13	0.15	1813	0	0	0	38	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__SIG333	s__
PN3CF.bin.178	metagenome-assembly	1	Yes	No	Yes	284	2151775	7576.67	11266	3059	43.53	75.88	4.17	2125	0	0	1	22	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3282	s__
PN3CF.bin.3	metagenome-assembly	1	Yes	No	Yes	115	1962617	17066.23	30321	8635	46.25	79.63	0.58	1623	0	0	0	31	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA6382	s__
PN3CF.vae.17940	metagenome-assembly	2	No	Yes	No	422	1835324	4349.11	5021	2340	46.91	87.13	3.29	1969	0	1	0	27	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-177	s__CAG-177 sp016297555
PN3CF.vae.20235	metagenome-assembly	1	Yes	No	Yes	316	2599299	8225.63	13183	3289	50.21	77.16	9.07	2044	0	0	0	34	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4334	s__
PN3CF.vae.20389	metagenome-assembly	1	Yes	No	Yes	514	1906358	3708.87	4199	1983	39.96	74.76	1.63	1081	0	0	0	27	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__1XD42-69	s__
PN3CF.vae.5986	metagenome-assembly	1	Yes	No	Yes	422	1611452	3818.61	4268	2167	38.8	59.77	0.37	1678	0	0	2	15	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RUG14305	s__
PN3CF.vae.6762	metagenome-assembly	1	Yes	No	Yes	206	845847	4106.05	4814	2233	25.87	77.95	0.88	987	0	2	1	14	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__Coprovivens	s__
PN3CF.vae.69780	metagenome-assembly	1	No	No	No	166	2132287	12845.1	22028	5767	42.31	89.71	0.41	1962	0	0	2	36	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Eubacterium_F	s__
PN3CF.vae.85493	metagenome-assembly	2	No	No	No	114	1847354	16204.86	22538	7575	37.67	87.17	1.9	1791	2	1	0	42	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__
PN3CG.bin.112	metagenome-assembly	5	Yes	Yes	No	352	1772854	5036.52	6391	2520	58.4	90.77	4.05	1907	2	0	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Onthomonas	s__Onthomonas sp900758315
PN3CG.bin.161	metagenome-assembly	1	Yes	Yes	No	451	1540831	3416.48	3614	2096	46.77	50.43	0.96	1777	0	0	0	14	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UMGS2037	s__UMGS2037 sp945643825
PN3CG.bin.162	metagenome-assembly	1	Yes	No	Yes	121	2439903	20164.49	37929	10173	38.74	90.88	1.44	1528	0	0	0	32	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-45	s__
PN3CG.bin.3	metagenome-assembly	2	Yes	No	Yes	167	3086941	18484.68	36470	8205	40.09	93.23	5.7	1211	0	3	2	53	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__KM106-2	s__
PN3CG.bin.67	metagenome-assembly	1	No	Yes	No	269	1057283	3930.42	4649	2165	52.2	61.65	1.08	1648	0	0	0	23	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp016296045
PN3CG.bin.91	metagenome-assembly	69	No	Yes	No	208	1546283	7434.05	10570	3407	43.92	95.46	0.61	1326	0	0	0	29	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA1712	s__UBA1712 sp018056665
PN3CG.vae.18280	metagenome-assembly	2	Yes	No	Yes	214	1456336	6805.31	7745	3806	62.07	71.57	0.42	1521	0	0	0	16	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__SFTH01	s__
