BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
PN11RD.vae.10428_k141_1148118.region001	k141_1148118	k141_1148118	NAPAA	NRPS		
PN11RD.vae.10428_k141_2301554.region001	k141_2301554	k141_2301554	T1PKS	PKSI		
PN11RD.vae.10428_k141_850115.region001	k141_850115	k141_850115	terpene	Terpene		
PN11RD.vae.10849_k141_1464772.region001	k141_1464772	k141_1464772	RRE-containing	RiPPs		
PN11RD.vae.13902_k141_190759.region001	k141_190759	k141_190759	ranthipeptide	RiPPs		
PN11RD.vae.15344_k141_1291861.region001	k141_1291861	k141_1291861	RRE-containing	RiPPs		
PN11RD.vae.15647_k141_1649125.region001	k141_1649125	k141_1649125	arylpolyene	Others		
PN11RD.vae.17720_k141_2158782.region001	k141_2158782	k141_2158782	RRE-containing	RiPPs		
PN11RD.vae.19575_k141_790189.region001	k141_790189	k141_790189	betalactone	Others		
PN11RD.vae.19575_k141_824167.region001	k141_824167	k141_824167	ranthipeptide	RiPPs		
PN11RD.vae.20653_k141_896154.region001	k141_896154	k141_896154	ranthipeptide	RiPPs		
PN11RD.vae.2377_k141_2037771.region001	k141_2037771	k141_2037771	arylpolyene	Others		
PN11RD.vae.3500_k141_77510.region001	k141_77510	k141_77510	ranthipeptide	RiPPs		
PN11RD.vae.35449_k141_1473131.region001	k141_1473131	k141_1473131	RRE-containing	RiPPs		
PN11RD.vae.3750_k141_904304.region001	k141_904304	k141_904304	T3PKS	PKSother		
PN11RD.vae.3948_k141_1130768.region001	k141_1130768	k141_1130768	arylpolyene	Others		
PN11RD.vae.3948_k141_82408.region001	k141_82408	k141_82408	arylpolyene	Others		
PN11RD.vae.4221_k141_1577090.region001	k141_1577090	k141_1577090	ranthipeptide	RiPPs		
PN11RD.vae.56799_k141_2319290.region001	k141_2319290	k141_2319290	NRPS-like	NRPS		
PN11RE.bin.108_k141_2015150.region001	k141_2015150	k141_2015150	RRE-containing	RiPPs		
PN11RE.bin.108_k141_2345627.region001	k141_2345627	k141_2345627	RiPP-like	RiPPs		
PN11RE.bin.111_k141_495731.region001	k141_495731	k141_495731	thiopeptide	RiPPs		
PN11RE.bin.111_k141_844802.region001	k141_844802	k141_844802	ranthipeptide	RiPPs		
PN11RE.bin.119_k141_204495.region001	k141_204495	k141_204495	betalactone	Others		
PN11RE.bin.119_k141_2425763.region001	k141_2425763	k141_2425763	terpene	Terpene		
PN11RE.bin.119_k141_348548.region001	k141_348548	k141_348548	terpene	Terpene		
PN11RE.bin.119_k141_777120.region001	k141_777120	k141_777120	NAGGN	Others		
PN11RE.bin.11_k141_2375304.region001	k141_2375304	k141_2375304	ranthipeptide	RiPPs		
PN11RE.bin.146_k141_35869.region001	k141_35869	k141_35869	arylpolyene	Others		
PN11RE.bin.147_k141_942806.region001	k141_942806	k141_942806	RRE-containing	RiPPs		
PN11RE.bin.162_k141_2332997.region001	k141_2332997	k141_2332997	arylpolyene	Others		
PN11RE.bin.164_k141_1009910.region001	k141_1009910	k141_1009910	NRPS-like	NRPS		
PN11RE.bin.164_k141_1369246.region001	k141_1369246	k141_1369246	RiPP-like	RiPPs		
PN11RE.bin.164_k141_1628258.region001	k141_1628258	k141_1628258	terpene	Terpene		
PN11RE.bin.164_k141_1732072.region001	k141_1732072	k141_1732072	NRPS.T1PKS	PKS-NRP_Hybrids		
PN11RE.bin.164_k141_2356485.region001	k141_2356485	k141_2356485	NRPS	NRPS		
PN11RE.bin.164_k141_2389345.region001	k141_2389345	k141_2389345	ectoine	Others		
PN11RE.bin.164_k141_2422875.region001	k141_2422875	k141_2422875	NAPAA	NRPS		
PN11RE.bin.164_k141_247455.region001	k141_247455	k141_247455	T1PKS	PKSI		
PN11RE.bin.164_k141_2507417.region001	k141_2507417	k141_2507417	T1PKS	PKSI		
PN11RE.bin.164_k141_431998.region001	k141_431998	k141_431998	NRPS	NRPS		
PN11RE.bin.164_k141_555320.region001	k141_555320	k141_555320	NRPS.T1PKS	PKS-NRP_Hybrids		
PN11RE.bin.164_k141_691515.region001	k141_691515	k141_691515	NRPS	NRPS		
PN11RE.bin.17_k141_1614223.region001	k141_1614223	k141_1614223	RRE-containing	RiPPs		
PN11RE.bin.183_k141_924263.region001	k141_924263	k141_924263	ranthipeptide	RiPPs		
PN11RE.bin.199_k141_1405936.region001	k141_1405936	k141_1405936	terpene	Terpene		
PN11RE.bin.199_k141_2193381.region001	k141_2193381	k141_2193381	T3PKS	PKSother		
PN11RE.bin.199_k141_550398.region001	k141_550398	k141_550398	terpene	Terpene		
PN11RE.bin.23_k141_1638845.region001	k141_1638845	k141_1638845	ranthipeptide	RiPPs		
PN11RE.bin.23_k141_2451442.region001	k141_2451442	k141_2451442	ectoine	Others		
PN11RE.bin.23_k141_253944.region001	k141_253944	k141_253944	terpene	Terpene		
PN11RE.bin.23_k141_2640583.region001	k141_2640583	k141_2640583	terpene	Terpene		
PN11RE.bin.27_k141_1830712.region001	k141_1830712	k141_1830712	arylpolyene	Others		
PN11RE.bin.27_k141_240965.region001	k141_240965	k141_240965	RRE-containing	RiPPs		
PN11RE.bin.31_k141_1029229.region001	k141_1029229	k141_1029229	T3PKS	PKSother		
PN11RE.bin.38_k141_297313.region001	k141_297313	k141_297313	RiPP-like	RiPPs		
PN11RE.bin.56_k141_1808767.region001	k141_1808767	k141_1808767	T3PKS	PKSother		
PN11RE.bin.65_k141_1082251.region001	k141_1082251	k141_1082251	ectoine	Others		
PN11RE.bin.65_k141_1355541.region001	k141_1355541	k141_1355541	T3PKS	PKSother		
PN11RE.bin.65_k141_1720803.region001	k141_1720803	k141_1720803	siderophore	Others		
PN11RE.bin.65_k141_1778465.region001	k141_1778465	k141_1778465	lassopeptide.RRE-containing	RiPPs		
PN11RE.bin.65_k141_261785.region001	k141_261785	k141_261785	terpene	Terpene		
PN11RE.bin.65_k141_380489.region001	k141_380489	k141_380489	RiPP-like	RiPPs		
PN11RE.bin.6_k141_1126170.region001	k141_1126170	k141_1126170	betalactone.NRPS	Others		
PN11RE.bin.6_k141_1358859.region001	k141_1358859	k141_1358859	NRPS.siderophore	Others		
PN11RE.bin.6_k141_1529845.region001	k141_1529845	k141_1529845	NRPS	NRPS		
PN11RE.bin.6_k141_1529851.region001	k141_1529851	k141_1529851	NRPS	NRPS		
PN11RE.bin.6_k141_16166.region001	k141_16166	k141_16166	NAPAA	NRPS		
PN11RE.bin.6_k141_1683013.region001	k141_1683013	k141_1683013	NRPS	NRPS		
PN11RE.bin.6_k141_2010305.region001	k141_2010305	k141_2010305	T1PKS	PKSI		
PN11RE.bin.6_k141_2011529.region001	k141_2011529	k141_2011529	RiPP-like	RiPPs		
PN11RE.bin.6_k141_2124178.region001	k141_2124178	k141_2124178	terpene	Terpene		
PN11RE.bin.6_k141_2394630.region001	k141_2394630	k141_2394630	NRPS-like	NRPS		
PN11RE.bin.6_k141_2477334.region001	k141_2477334	k141_2477334	ectoine	Others		
PN11RE.bin.6_k141_2627437.region001	k141_2627437	k141_2627437	terpene	Terpene		
PN11RE.bin.6_k141_2667299.region001	k141_2667299	k141_2667299	redox-cofactor	RiPPs		
PN11RE.bin.6_k141_2667299.region002	k141_2667299	k141_2667299	NRPS	NRPS		
PN11RE.bin.6_k141_442684.region001	k141_442684	k141_442684	NRPS	NRPS		
PN11RE.bin.6_k141_486883.region001	k141_486883	k141_486883	NRPS	NRPS		
PN11RE.bin.6_k141_84593.region001	k141_84593	k141_84593	NRPS-like	NRPS		
PN11RE.bin.77_k141_613422.region001	k141_613422	k141_613422	terpene	Terpene		
PN11RE.bin.91_k141_1421314.region001	k141_1421314	k141_1421314	NRPS	NRPS		
PN11RE.bin.91_k141_2346830.region001	k141_2346830	k141_2346830	NRPS	NRPS		
PN11RE.bin.91_k141_290898.region001	k141_290898	k141_290898	T1PKS	PKSI		
PN11RE.bin.91_k141_576287.region001	k141_576287	k141_576287	other	Others		
PN11RE.bin.91_k141_839099.region001	k141_839099	k141_839099	NRPS	NRPS		
PN11RE.bin.91_k141_989943.region001	k141_989943	k141_989943	betalactone	Others		
PN11RE.vae.12252_k141_257644.region001	k141_257644	k141_257644	ranthipeptide	RiPPs		
PN11RE.vae.12611_k141_465212.region001	k141_465212	k141_465212	betalactone	Others		
PN11RE.vae.14195_k141_821030.region001	k141_821030	k141_821030	RRE-containing	RiPPs		
PN11RE.vae.14195_k141_919401.region001	k141_919401	k141_919401	ranthipeptide	RiPPs		
PN11RE.vae.16674_k141_1211112.region001	k141_1211112	k141_1211112	NRPS	NRPS		
PN11RE.vae.16674_k141_1369828.region001	k141_1369828	k141_1369828	NRPS-like	NRPS		
PN11RE.vae.16674_k141_2028159.region001	k141_2028159	k141_2028159	terpene	Terpene		
PN11RE.vae.16674_k141_2029502.region001	k141_2029502	k141_2029502	terpene	Terpene		
PN11RE.vae.16674_k141_2287799.region001	k141_2287799	k141_2287799	NRPS	NRPS		
PN11RE.vae.16674_k141_239378.region001	k141_239378	k141_239378	NRPS	NRPS		
PN11RE.vae.16674_k141_567736.region001	k141_567736	k141_567736	NRPS	NRPS		
PN11RE.vae.16674_k141_686098.region001	k141_686098	k141_686098	NRPS	NRPS		
PN11RE.vae.16674_k141_753779.region001	k141_753779	k141_753779	NRPS	NRPS		
PN11RE.vae.16674_k141_908228.region001	k141_908228	k141_908228	NRPS	NRPS		
PN11RE.vae.19950_k141_452238.region001	k141_452238	k141_452238	ranthipeptide	RiPPs		
PN11RE.vae.27861_k141_1594792.region001	k141_1594792	k141_1594792	terpene	Terpene		
PN11RE.vae.29668_k141_406566.region001	k141_406566	k141_406566	RRE-containing	RiPPs		
PN11RE.vae.35945_k141_508057.region001	k141_508057	k141_508057	T3PKS	PKSother		
PN11RE.vae.35945_k141_555320.region001	k141_555320	k141_555320	NRPS.T1PKS	PKS-NRP_Hybrids		
PN11RE.vae.41612_k141_1769429.region001	k141_1769429	k141_1769429	ranthipeptide	RiPPs		
PN11RE.vae.41612_k141_1821204.region001	k141_1821204	k141_1821204	RRE-containing	RiPPs		
PN11RE.vae.41612_k141_1852572.region001	k141_1852572	k141_1852572	betalactone	Others		
PN11RE.vae.50946_k141_1834403.region001	k141_1834403	k141_1834403	RRE-containing	RiPPs		
PN11RF.bin.118_k141_2140204.region001	k141_2140204	k141_2140204	RRE-containing	RiPPs		
PN11RF.bin.127_k141_2336480.region001	k141_2336480	k141_2336480	NRPS	NRPS		
PN11RF.bin.177_k141_522211.region001	k141_522211	k141_522211	ranthipeptide	RiPPs		
PN11RF.bin.189_k141_2303839.region001	k141_2303839	k141_2303839	ranthipeptide	RiPPs		
PN11RF.bin.199_k141_2043302.region001	k141_2043302	k141_2043302	RRE-containing	RiPPs		
PN11RF.bin.34_k141_1696429.region001	k141_1696429	k141_1696429	betalactone	Others		
PN11RF.bin.34_k141_407650.region001	k141_407650	k141_407650	ranthipeptide	RiPPs		
PN11RF.bin.34_k141_485040.region001	k141_485040	k141_485040	ranthipeptide	RiPPs		
PN11RF.bin.34_k141_753836.region001	k141_753836	k141_753836	betalactone	Others		
PN11RF.bin.47_k141_1208964.region001	k141_1208964	k141_1208964	NRPS.NRPS-like	NRPS		
PN11RF.bin.47_k141_1236571.region001	k141_1236571	k141_1236571	NAPAA	NRPS		
PN11RF.bin.47_k141_1328634.region001	k141_1328634	k141_1328634	redox-cofactor	RiPPs		
PN11RF.bin.47_k141_1565177.region001	k141_1565177	k141_1565177	NRPS	NRPS		
PN11RF.bin.47_k141_1676730.region001	k141_1676730	k141_1676730	terpene	Terpene		
PN11RF.bin.47_k141_1795107.region001	k141_1795107	k141_1795107	NRPS	NRPS		
PN11RF.bin.47_k141_2135292.region001	k141_2135292	k141_2135292	NRPS	NRPS		
PN11RF.bin.47_k141_2149934.region001	k141_2149934	k141_2149934	ectoine	Others		
PN11RF.bin.47_k141_2251929.region001	k141_2251929	k141_2251929	NRPS	NRPS		
PN11RF.bin.47_k141_2526865.region001	k141_2526865	k141_2526865	T1PKS	PKSI		
PN11RF.bin.47_k141_474294.region001	k141_474294	k141_474294	RiPP-like	RiPPs		
PN11RF.bin.47_k141_489468.region001	k141_489468	k141_489468	terpene	Terpene		
PN11RF.bin.57_k141_874337.region001	k141_874337	k141_874337	ranthipeptide	RiPPs		
PN11RF.bin.61_k141_17837.region001	k141_17837	k141_17837	RRE-containing	RiPPs		
PN11RF.bin.92_k141_1700962.region001	k141_1700962	k141_1700962	arylpolyene	Others		
PN11RF.bin.97_k141_1897225.region001	k141_1897225	k141_1897225	terpene	Terpene		
PN11RF.bin.97_k141_1923842.region001	k141_1923842	k141_1923842	NAPAA	NRPS		
PN11RF.bin.97_k141_506048.region001	k141_506048	k141_506048	T3PKS	PKSother		
PN11RF.bin.97_k141_625923.region001	k141_625923	k141_625923	NRPS	NRPS		
PN11RF.bin.97_k141_938856.region001	k141_938856	k141_938856	terpene	Terpene		
PN11RF.vae.12622_k141_1080787.region001	k141_1080787	k141_1080787	ranthipeptide	RiPPs		
PN11RF.vae.1448_k141_1751818.region001	k141_1751818	k141_1751818	ranthipeptide	RiPPs		
PN11RF.vae.1448_k141_2329821.region001	k141_2329821	k141_2329821	cyclic-lactone-autoinducer	RiPPs		
PN11RF.vae.16113_k141_1326550.region001	k141_1326550	k141_1326550	ranthipeptide	RiPPs		
PN11RF.vae.16113_k141_584051.region001	k141_584051	k141_584051	betalactone	Others		
PN11RF.vae.16113_k141_80485.region001	k141_80485	k141_80485	RRE-containing	RiPPs		
PN11RF.vae.2173_k141_1658052.region001	k141_1658052	k141_1658052	cyclic-lactone-autoinducer.RiPP-like	RiPPs		
PN11RF.vae.21974_k141_181260.region001	k141_181260	k141_181260	RRE-containing	RiPPs		
PN11RF.vae.21974_k141_2369767.region001	k141_2369767	k141_2369767	NRPS-like	NRPS		
PN11RF.vae.26781_k141_2501140.region001	k141_2501140	k141_2501140	terpene	Terpene		
PN11RF.vae.28473_k141_1035142.region001	k141_1035142	k141_1035142	RRE-containing	RiPPs		
PN11RF.vae.4111_k141_2079881.region001	k141_2079881	k141_2079881	ranthipeptide	RiPPs		
PN11RF.vae.4111_k141_2260179.region001	k141_2260179	k141_2260179	NRPS	NRPS		
PN11RF.vae.41413_k141_1709194.region001	k141_1709194	k141_1709194	RRE-containing	RiPPs		
PN11RF.vae.42744_k141_2387688.region001	k141_2387688	k141_2387688	RRE-containing	RiPPs		
PN11RF.vae.43843_k141_105071.region001	k141_105071	k141_105071	arylpolyene	Others		
PN11RF.vae.46402_k141_1424270.region001	k141_1424270	k141_1424270	RRE-containing	RiPPs		
PN11RF.vae.5164_k141_1239302.region001	k141_1239302	k141_1239302	NRPS-like	NRPS		
PN11RF.vae.5164_k141_439489.region001	k141_439489	k141_439489	RRE-containing	RiPPs		
PN11RF.vae.61502_k141_1911300.region001	k141_1911300	k141_1911300	ranthipeptide	RiPPs		
PN11RF.vae.61502_k141_2096156.region001	k141_2096156	k141_2096156	cyclic-lactone-autoinducer	RiPPs		
PN11RF.vae.61502_k141_2588060.region001	k141_2588060	k141_2588060	RRE-containing	RiPPs		
PN11RF.vae.61502_k141_436547.region001	k141_436547	k141_436547	lassopeptide.RRE-containing	RiPPs		
PN11RF.vae.7192_k141_1953097.region001	k141_1953097	k141_1953097	RRE-containing	RiPPs		
PN11RF.vae.8556_k141_1826596.region001	k141_1826596	k141_1826596	ranthipeptide	RiPPs		
PN11RF.vae.883_k141_1365512.region001	k141_1365512	k141_1365512	arylpolyene	Others		
PN11RF.vae.962_k141_1120498.region001	k141_1120498	k141_1120498	RRE-containing	RiPPs		
PN11RG.bin.107_k141_1055548.region001	k141_1055548	k141_1055548	ranthipeptide	RiPPs		
PN11RG.bin.118_k141_2155115.region001	k141_2155115	k141_2155115	terpene	Terpene		
PN11RG.bin.160_k141_1256968.region001	k141_1256968	k141_1256968	RRE-containing	RiPPs		
PN11RG.bin.166_k141_1001691.region001	k141_1001691	k141_1001691	terpene	Terpene		
PN11RG.bin.166_k141_1753641.region001	k141_1753641	k141_1753641	terpene	Terpene		
PN11RG.bin.166_k141_2570629.region001	k141_2570629	k141_2570629	T3PKS	PKSother		
PN11RG.bin.166_k141_614951.region001	k141_614951	k141_614951	NRPS-like	NRPS		
PN11RG.bin.166_k141_719620.region001	k141_719620	k141_719620	terpene	Terpene		
PN11RG.bin.193_k141_990250.region001	k141_990250	k141_990250	RRE-containing	RiPPs		
PN11RG.bin.203_k141_2791361.region001	k141_2791361	k141_2791361	lanthipeptide-class-iii	RiPPs		
PN11RG.bin.203_k141_77073.region001	k141_77073	k141_77073	lanthipeptide-class-iv	RiPPs		
PN11RG.bin.206_k141_2106910.region001	k141_2106910	k141_2106910	cyclic-lactone-autoinducer	RiPPs		
PN11RG.bin.206_k141_2375938.region001	k141_2375938	k141_2375938	RRE-containing	RiPPs		
PN11RG.bin.24_k141_375043.region001	k141_375043	k141_375043	RRE-containing	RiPPs		
PN11RG.bin.40_k141_1657178.region001	k141_1657178	k141_1657178	arylpolyene	Others		
PN11RG.bin.57_k141_2221407.region001	k141_2221407	k141_2221407	RRE-containing	RiPPs		
PN11RG.bin.90_k141_2055761.region001	k141_2055761	k141_2055761	RaS-RiPP	RiPPs		
PN11RG.bin.90_k141_2412831.region001	k141_2412831	k141_2412831	T3PKS	PKSother		
PN11RG.bin.91_k141_1721585.region001	k141_1721585	k141_1721585	RRE-containing	RiPPs		
PN11RG.bin.91_k141_1797943.region001	k141_1797943	k141_1797943	arylpolyene	Others		
PN11RG.bin.91_k141_24585.region001	k141_24585	k141_24585	arylpolyene	Others		
PN11RG.bin.99_k141_2780140.region001	k141_2780140	k141_2780140	arylpolyene	Others		
PN11RG.vae.102200_k141_96635.region001	k141_96635	k141_96635	cyclic-lactone-autoinducer	RiPPs		
PN11RG.vae.11024_k141_1885976.region001	k141_1885976	k141_1885976	RRE-containing	RiPPs		
PN11RG.vae.12312_k141_2306369.region001	k141_2306369	k141_2306369	ranthipeptide	RiPPs		
PN11RG.vae.12328_k141_2509839.region001	k141_2509839	k141_2509839	betalactone.ranthipeptide	Others		
PN11RG.vae.12328_k141_552687.region001	k141_552687	k141_552687	NRPS-like	NRPS		
PN11RG.vae.13351_k141_1407815.region001	k141_1407815	k141_1407815	RRE-containing	RiPPs		
PN11RG.vae.14036_k141_964868.region001	k141_964868	k141_964868	ranthipeptide	RiPPs		
PN11RG.vae.19864_k141_2300847.region001	k141_2300847	k141_2300847	terpene	Terpene		
PN11RG.vae.20532_k141_31491.region001	k141_31491	k141_31491	arylpolyene	Others		
PN11RG.vae.27395_k141_2150268.region001	k141_2150268	k141_2150268	ranthipeptide	RiPPs		
PN11RG.vae.2762_k141_2171818.region001	k141_2171818	k141_2171818	resorcinol	Others		
PN11RG.vae.2762_k141_640620.region001	k141_640620	k141_640620	RRE-containing	RiPPs		
PN11RG.vae.27650_k141_2279033.region001	k141_2279033	k141_2279033	ranthipeptide	RiPPs		
PN11RG.vae.2977_k141_1470226.region001	k141_1470226	k141_1470226	ranthipeptide	RiPPs		
PN11RG.vae.2977_k141_1977050.region001	k141_1977050	k141_1977050	betalactone	Others		
PN11RG.vae.32922_k141_1044652.region001	k141_1044652	k141_1044652	NRPS	NRPS		
PN11RG.vae.32922_k141_1415969.region001	k141_1415969	k141_1415969	NRPS-like	NRPS		
PN11RG.vae.32922_k141_1738412.region001	k141_1738412	k141_1738412	NRPS	NRPS		
PN11RG.vae.32922_k141_1738412.region002	k141_1738412	k141_1738412	RRE-containing	RiPPs		
PN11RG.vae.32922_k141_1738412.region003	k141_1738412	k141_1738412	RRE-containing	RiPPs		
PN11RG.vae.32922_k141_1738412.region004	k141_1738412	k141_1738412	hglE-KS	PKSother		
PN11RG.vae.32922_k141_1790049.region001	k141_1790049	k141_1790049	ranthipeptide	RiPPs		
PN11RG.vae.32922_k141_1790055.region001	k141_1790055	k141_1790055	cyclic-lactone-autoinducer	RiPPs		
PN11RG.vae.32922_k141_2100773.region001	k141_2100773	k141_2100773	NRPS-like	NRPS		
PN11RG.vae.32922_k141_2177362.region001	k141_2177362	k141_2177362	cyclic-lactone-autoinducer.RiPP-like	RiPPs		
PN11RG.vae.32922_k141_2197247.region001	k141_2197247	k141_2197247	NRPS-like.NRPS.transAT-PKS	PKS-NRP_Hybrids		
PN11RG.vae.35034_k141_73334.region001	k141_73334	k141_73334	RRE-containing	RiPPs		
PN11RG.vae.35811_k141_2819125.region001	k141_2819125	k141_2819125	arylpolyene	Others		
PN11RG.vae.37198_k141_366438.region001	k141_366438	k141_366438	ranthipeptide	RiPPs		
PN11RG.vae.40643_k141_1451640.region001	k141_1451640	k141_1451640	betalactone	Others		
PN11RG.vae.40643_k141_590744.region001	k141_590744	k141_590744	ranthipeptide	RiPPs		
PN11RG.vae.40958_k141_2139727.region001	k141_2139727	k141_2139727	ranthipeptide	RiPPs		
PN11RG.vae.43560_k141_634095.region001	k141_634095	k141_634095	RRE-containing	RiPPs		
PN11RG.vae.47579_k141_1898191.region001	k141_1898191	k141_1898191	ranthipeptide	RiPPs		
PN11RG.vae.47579_k141_2229078.region001	k141_2229078	k141_2229078	betalactone	Others		
PN11RG.vae.47834_k141_2401821.region001	k141_2401821	k141_2401821	betalactone	Others		
PN11RG.vae.47834_k141_2777989.region001	k141_2777989	k141_2777989	ranthipeptide	RiPPs		
PN11RG.vae.4993_k141_13423.region001	k141_13423	k141_13423	NRPS-like	NRPS		
PN11RG.vae.4993_k141_8657.region001	k141_8657	k141_8657	arylpolyene	Others		
PN11RG.vae.50396_k141_1564475.region001	k141_1564475	k141_1564475	NRPS	NRPS		
PN11RG.vae.50396_k141_2661842.region001	k141_2661842	k141_2661842	betalactone	Others		
PN11RG.vae.8547_k141_534670.region001	k141_534670	k141_534670	phenazine	Others		
PN11RH.bin.100_k141_1525601.region001	k141_1525601	k141_1525601	cyclic-lactone-autoinducer.RiPP-like	RiPPs		
PN11RH.bin.10_k141_1080111.region001	k141_1080111	k141_1080111	NRPS-like	NRPS		
PN11RH.bin.10_k141_1190344.region001	k141_1190344	k141_1190344	NRPS-like	NRPS		
PN11RH.bin.10_k141_1373357.region001	k141_1373357	k141_1373357	T1PKS	PKSI		
PN11RH.bin.10_k141_1454053.region001	k141_1454053	k141_1454053	NRPS-like	NRPS		
PN11RH.bin.10_k141_2077847.region001	k141_2077847	k141_2077847	NRPS	NRPS		
PN11RH.bin.10_k141_2369744.region001	k141_2369744	k141_2369744	ranthipeptide	RiPPs		
PN11RH.bin.10_k141_2434405.region001	k141_2434405	k141_2434405	transAT-PKS-like	PKSother		
PN11RH.bin.10_k141_253457.region001	k141_253457	k141_253457	RiPP-like	RiPPs		
PN11RH.bin.10_k141_612657.region001	k141_612657	k141_612657	NRPS-like.NRPS	NRPS		
PN11RH.bin.10_k141_808898.region001	k141_808898	k141_808898	arylpolyene	Others		
PN11RH.bin.10_k141_898773.region001	k141_898773	k141_898773	cyclic-lactone-autoinducer	RiPPs		
PN11RH.bin.10_k141_988996.region001	k141_988996	k141_988996	RiPP-like	RiPPs		
PN11RH.bin.10_k141_997896.region001	k141_997896	k141_997896	T1PKS	PKSI		
PN11RH.bin.129_k141_356762.region001	k141_356762	k141_356762	NRPS-like	NRPS		
PN11RH.bin.174_k141_1558261.region001	k141_1558261	k141_1558261	ranthipeptide	RiPPs		
PN11RH.bin.174_k141_950537.region001	k141_950537	k141_950537	RRE-containing	RiPPs		
PN11RH.bin.185_k141_231715.region001	k141_231715	k141_231715	betalactone	Others		
PN11RH.bin.191_k141_393728.region001	k141_393728	k141_393728	NRPS-like	NRPS		
PN11RH.bin.46_k141_350542.region001	k141_350542	k141_350542	betalactone	Others		
PN11RH.bin.78_k141_1176108.region001	k141_1176108	k141_1176108	NRPS-like	NRPS		
PN11RH.vae.1038_k141_1300951.region001	k141_1300951	k141_1300951	terpene	Terpene		
PN11RH.vae.1038_k141_929811.region001	k141_929811	k141_929811	T3PKS	PKSother		
PN11RH.vae.11653_k141_1381812.region001	k141_1381812	k141_1381812	RRE-containing	RiPPs		
PN11RH.vae.12841_k141_635188.region001	k141_635188	k141_635188	ranthipeptide	RiPPs		
PN11RH.vae.15378_k141_375951.region001	k141_375951	k141_375951	arylpolyene	Others		
PN11RH.vae.15484_k141_1565497.region001	k141_1565497	k141_1565497	ranthipeptide	RiPPs		
PN11RH.vae.15484_k141_2132628.region001	k141_2132628	k141_2132628	NRPS	NRPS		
PN11RH.vae.15484_k141_2461470.region001	k141_2461470	k141_2461470	NRPS	NRPS		
PN11RH.vae.15484_k141_523886.region001	k141_523886	k141_523886	betalactone	Others		
PN11RH.vae.20305_k141_1188619.region001	k141_1188619	k141_1188619	ranthipeptide	RiPPs		
PN11RH.vae.21727_k141_1062282.region001	k141_1062282	k141_1062282	arylpolyene	Others		
PN11RH.vae.21727_k141_1310295.region001	k141_1310295	k141_1310295	arylpolyene	Others		
PN11RH.vae.2515_k141_2098002.region001	k141_2098002	k141_2098002	ranthipeptide	RiPPs		
PN11RH.vae.28489_k141_2089366.region001	k141_2089366	k141_2089366	ranthipeptide	RiPPs		
PN11RH.vae.30630_k141_2382057.region001	k141_2382057	k141_2382057	RRE-containing	RiPPs		
PN11RH.vae.33074_k141_649945.region001	k141_649945	k141_649945	terpene	Terpene		
PN11RH.vae.3434_k141_1972827.region001	k141_1972827	k141_1972827	ranthipeptide	RiPPs		
PN11RH.vae.3434_k141_2106018.region001	k141_2106018	k141_2106018	RRE-containing	RiPPs		
PN11RH.vae.34576_k141_82195.region001	k141_82195	k141_82195	NRPS-like	NRPS		
PN11RH.vae.4397_k141_1555977.region001	k141_1555977	k141_1555977	RRE-containing	RiPPs		
PN11RH.vae.46269_k141_281550.region001	k141_281550	k141_281550	arylpolyene	Others		
PN11RH.vae.50538_k141_652728.region001	k141_652728	k141_652728	cyclic-lactone-autoinducer	RiPPs		
PN11RH.vae.51299_k141_46851.region001	k141_46851	k141_46851	RRE-containing	RiPPs		
PN11RH.vae.7614_k141_1427176.region001	k141_1427176	k141_1427176	RRE-containing	RiPPs		
PN11RH.vae.7614_k141_2350639.region001	k141_2350639	k141_2350639	ranthipeptide	RiPPs		
PN11RH.vae.8142_k141_458853.region001	k141_458853	k141_458853	RRE-containing	RiPPs		
PN11RH.vae.8287_k141_680519.region001	k141_680519	k141_680519	ranthipeptide	RiPPs		
PN11RH.vae.9366_k141_2073672.region001	k141_2073672	k141_2073672	ranthipeptide	RiPPs		
PN11RI.bin.100_k141_153932.region001	k141_153932	k141_153932	ranthipeptide	RiPPs		
PN11RI.bin.100_k141_1786844.region001	k141_1786844	k141_1786844	RRE-containing	RiPPs		
PN11RI.bin.115_k141_653030.region001	k141_653030	k141_653030	ranthipeptide	RiPPs		
PN11RI.bin.126_k141_1333413.region001	k141_1333413	k141_1333413	arylpolyene	Others		
PN11RI.bin.126_k141_151538.region001	k141_151538	k141_151538	NRPS-like	NRPS		
PN11RI.bin.151_k141_378514.region001	k141_378514	k141_378514	RRE-containing	RiPPs		
PN11RI.bin.17_k141_1714238.region001	k141_1714238	k141_1714238	ranthipeptide	RiPPs		
PN11RI.bin.182_k141_2219699.region001	k141_2219699	k141_2219699	RRE-containing	RiPPs		
PN11RI.bin.182_k141_663742.region001	k141_663742	k141_663742	ranthipeptide	RiPPs		
PN11RI.bin.195_k141_254109.region001	k141_254109	k141_254109	cyclic-lactone-autoinducer	RiPPs		
PN11RI.bin.209_k141_1508090.region001	k141_1508090	k141_1508090	RRE-containing	RiPPs		
PN11RI.bin.212_k141_39500.region001	k141_39500	k141_39500	arylpolyene	Others		
PN11RI.bin.215_k141_1977990.region001	k141_1977990	k141_1977990	ranthipeptide	RiPPs		
PN11RI.bin.215_k141_973621.region001	k141_973621	k141_973621	RRE-containing	RiPPs		
